12,Fox Searchlight,1.4%,$147.8,11,8,
13,Focus Features,1.2%,$126.0,12,11,
14,Freestyle Releasing,0.7%,$78.2,12,12,
15,Sony Classics,0.4%,$41.8,22,15,
16,Roadside Attractions,0.3%,$37.3,14,13,
17,IFC,0.3%,$32.7,42,38,
18,Clarius Entertainment,0.2%,$26.9,3,3,
19,UTV Communications,0.1%,$15.9,9,9,
20,CBS Films,0.1%,$14.2,5,3,
21,A24,0.1%,$13.3,10,10,
22,Radius-TWC,0.1%,$10.1,15,12,
23,IMAX,0.1%,$7.9,5,0,
24,Music Box Films,0.1%,$7.1,16,15,
25,Eros,0.1%,$6.7,13,13,
26,Purdie Distribution,0.1%,$6.6,2,1,
27,Millennium Ent.,0.1%,$5.8,5,5,
28,Cohen Media Group,0.0%,$5.3,12,12,
29,Magnolia,0.0%,$5.2,35,32,
30,Samuel Goldwyn,0.0%,$4.9,9,9,
31,National Geographic Entertainment,0.0%,$4.8,1,0,
32,Entertainment One,0.0%,$3.8,8,8,
33,China Lion,0.0%,$3.3,11,9,
34,FIP,0.0%,$3.2,2,2,
35,CJ Entertainment,0.0%,$3.1,5,5,
36,Screenvision,0.0%,$2.6,1,1,
37,Janus Films,0.0%,$2.5,2,1,
38,Saban Films,0.0%,$2.2,1,1,
39,Shorts International,0.0%,$2.2,1,1,
40,Reliance Big Pictures,0.0%,$1.7,3,3,
41,Well Go USA,0.0%,$1.6,13,13,
42,Tribeca Film,0.0%,$1.3,12,10,
43,Abramorama,0.0%,$1.2,6,6,
44,Triumph,0.0%,$1.2,1,1,
45,Drafthouse,0.0%,$1.1,12,11,
46,Ten Furlongs,0.0%,$1.1,1,1,
47,Kino Lorber,0.0%,$1.0,30,24,
48,Counterpoint Films,0.0%,$972k,1,1,
49,GKIDS,0.0%,$965k,4,4,
50,Liberty Studios,0.0%,$935k,1,1,
51,Atlas Distribution,0.0%,$847k,1,1,
52,Yash Raj,0.0%,$837k,1,0,
53,Seatzy/IMA,0.0%,$754k,1,0,
54,Zeitgeist,0.0%,$740k,8,6,
55,Strand,0.0%,$733k,14,13,
56,Future Educational Films,0.0%,$602k,1,0,
57,Oscilloscope Pictures,0.0%,$562k,8,8,
58,Adopt Films,0.0%,$559k,3,2,
59,Ocean Avenue Entertainment,0.0%,$549k,1,1,
60,Hannover House,0.0%,$543k,1,1,
61,Eleven Arts,0.0%,$474k,9,8,
62,American Experience Films,0.0%,$440k,1,1,
63,Amplify,0.0%,$431k,3,3,
64,Cinedigm Entertainment,0.0%,$417k,4,4,
65,Rialto,0.0%,$393k,12,10,
